year,month,day,open,high,low,close,vol
2006,03,17,338.8,341.78,334.93,339.79,8059989
2006,03,20,342.32,350.09,341.54,348.04,10142586
2006,03,21,350.02,351.66,339.08,339.5,9521421
2006,03,22,339.75,344.1,337.5,340.03,7406918
2006,03,23,342.35,345.75,340.2,341.94,5908076
2006,03,24,368.63,370.09,362.51,365.31,13630695
2006,03,27,367.09,371.71,365,369.69,6772254
2006,03,28,371.81,377.86,371.17,377.17,8556872
2006,03,29,379.94,399,379.51,394.8,17548928
2006,03,30,389.17,393.5,383.61,388.22,13897432
2006,03,31,388.75,391.87,384.03,385.63,16488973
2006,04,03,389.53,392.47,387.93,389.52,7589084
2006,04,04,389.9,404.9,388.14,404.59,15295438
2006,04,05,408.21,414.57,402.82,407.74,12759342
2006,04,06,406.49,413.89,405.43,410.7,8287015
2006,04,07,412.6,412.85,404.02,406.16,6795362
2006,04,10,407.08,417.17,405.25,416.13,8721372
2006,04,11,416.42,419.1,406.22,409.73,10781610
2006,04,12,409,411.33,405.19,408.23,5640252
2006,04,13,408.63,409.76,400.5,402.4,6291457
2006,04,17,403.45,412.5,400.84,407.12,7889679
2006,04,18,407.93,409.83,401.5,404.01,6833692
2006,04,19,412.57,413.64,406.73,409.92,6124331
2006,04,20,411.31,416,408.2,415.81,7063862
2006,04,21,448.96,450.72,436.17,436.94,19901406
2006,04,24,439.55,444.7,436.52,440.59,8080834
2006,04,25,439.63,441.04,426,427.03,9182599
2006,04,26,427.74,430.04,423.53,425.6,6984499
2006,04,27,422.91,426.91,419.39,420,8026550
2006,04,28,418.63,425.73,416.3,417.74,7079359
2006,05,01,418.47,419.44,398.78,399.4,9823221
2006,05,02,401.08,402.49,388.4,394.84,12599231
2006,05,03,396.49,401.5,390.88,394.64,7565321
2006,05,04,395.03,398.87,392.21,394.7,4487284
2006,05,05,397.6,400.68,391.78,393.93,5783939
2006,05,08,395.11,397.12,390.05,394.8,4884457
2006,05,09,395.93,409,393.75,408.86,8850033
2006,05,10,408.31,411.71,401.86,402.99,5883288
2006,05,11,403.42,404.71,384.98,386.88,8658698
2006,05,12,383.54,384.87,373.55,374.09,9703311
2006,05,15,375.93,380.15,368.25,376.45,8212780
2006,05,16,375.99,376.86,369.89,371.11,4917124
2006,05,17,370.61,379.84,370.22,374.74,10038418
2006,05,18,378.78,381.81,370.94,371.5,5531002
2006,05,19,373.28,374.5,360.57,370.48,10858407
2006,05,22,367.79,373.03,365.25,370.48,8131274
2006,05,23,374.26,383.88,373.56,375.43,8421673
2006,05,24,377.35,383.44,371.61,381,9255046
2006,05,25,379.08,383,372.31,382.95,7696701
2006,05,26,384.54,385.88,380.03,381.15,3405891
2006,05,30,378.28,381,371.61,371.95,4046909
2006,05,31,373.8,378.25,366.78,370.41,7500356
2006,06,01,373.54,382.99,371.6,382.12,5909925
2006,06,02,386.62,387.08,377.45,379.2,6047513
2006,06,05,376.18,381.45,374.15,374.42,5320645
2006,06,06,376.42,389.94,376.3,389.8,9873071
2006,06,07,393.24,394.86,386.59,386.65,8203332
2006,06,08,387.75,394.27,378.59,392.86,10101335
2006,06,09,392.19,395.43,385.35,386.31,5839450
2006,06,12,388.34,390.49,381.27,381.67,4762874
2006,06,13,380.9,387,378.12,384.48,7411334
2006,06,14,389.83,391.1,378.52,383.99,7377953
2006,06,15,386.62,392.25,383,391.01,6336949
2006,06,16,389.14,390.93,388,389.71,4475447
2006,06,19,390.85,394.8,386.98,388.14,6642990
2006,06,20,388.03,391.87,386.51,386.9,3798559
2006,06,21,390.79,404,389.75,401.76,8364361
2006,06,22,401.58,406,388.5,400,5650967
2006,06,23,402.76,409.75,400.74,405.33,5071224
2006,06,26,406.74,408.3,403.25,404,3347175
2006,06,27,405.66,408,401.01,402.45,3648098
2006,06,28,404.01,406.48,401.13,406.2,3552732
2006,06,29,408.09,418.2,405.82,417.86,6403207
2006,06,30,415.62,418.84,412.33,418.55,4405005
2006,07,03,419.92,423.77,419.45,423.25,2097181
2006,07,05,421.52,422.8,415.64,421.47,4727444
2006,07,06,423.38,425.38,421.98,423.1,3421221
2006,07,07,426.05,427.89,415.88,419.62,5553867
2006,07,10,423.44,425.23,416.38,417.67,4289235
2006,07,11,418.51,425.05,413.03,424.63,5635725
2006,07,12,422.09,422.74,416.73,417.52,4661939
2006,07,13,414,418.34,406.83,409.31,6685205
2006,07,14,410.33,411.49,398.61,403.88,7188374
2006,07,17,404.3,411,403.72,407.78,5613999
2006,07,18,409.75,410.57,397.74,402.33,7183377
2006,07,19,395.01,401.14,394.66,399.08,7681036
2006,07,20,404.35,404.44,385.66,388.79,8828568
2006,07,21,386.15,391.75,377.69,390.1,11098729
2006,07,24,392.67,393.89,381.21,390.41,7619260
2006,07,25,384.93,391.31,383.8,389.09,5553669
2006,07,26,388.2,391.91,383,386.03,5287195
